UniqueCount	AmbigCount
1	178
234	2598
1	507
2554	1113
3	63
0	0
3886	1358
44	7
0	5615
111	4540
0	132
0	1393
8	956
0	56
6	99
1566	574
0	0
0	947
4	378
0	0
0	0
0	0
15	501
2	485
616	719
44	2349
4	760
0	0
1	1
0	0
0	8
0	247
0	1
0	0
49	1298
0	77
1	692
0	0
0	0
14	1073
110	76
0	24
0	9
0	1
0	66
615	332
2	934
0	366
0	1737
0	0
8	1241
1	1177
0	1865
2	221
197	893
0	1438
4	87
0	7
0	0
0	13
553	1226
0	246
20	4283
10	14384
0	0
0	0
1	60
0	1
0	0
0	32
2	14772
0	36
0	617
162	1146
1	5254
2	245
0	52
0	0
0	0
0	0
151	3307
3	3008
327	408
78	1467
0	0
0	0
27	515
53	966
0	0
580	1047
0	0
0	5252
0	1264
0	0
57	44
37	716
8	2579
0	0
0	0
1435	1930
9	4779
2	230
0	494
1074	714
1357	5
935	0
0	2
7	553
21	0
0	4
0	1
0	0
0	0
4	635
0	530
77	191
4	3442
0	400
6	272
105	1880
0	1362
0	384
0	1
0	0
14	391
9	2775
0	595
3	84
124	922
57	1239
0	0
3	2345
34	19
0	29
31	803
11	565
2	7
8336	3019
1	135
0	1313
0	86
0	115
0	0
0	1
0	196
14	2223
0	0
0	547
0	354
21	453
1	5
33	140
0	1
0	922
0	0
0	284
0	542
606	423
0	2
109	354
403	312
33	236
0	275
3	195
0	0
0	2102
4	162
2779	942
0	0
0	0
0	3
0	0
0	74
0	115
0	234
609	983
1	10
0	0
5	385
1	2
0	0
0	71
3	94
0	1226
0	0
3	3270
97	570
0	0
0	2
21	429
0	0
0	99
6	2
1	263
42	266
1451	487
0	0
0	4
0	5
0	0
3	467
0	18
0	4
4	436
0	554
0	425
0	0
0	381
0	11
0	1273
0	7
283	5339
1	2
26	334
32	3240
1700	7133
0	0
0	0
0	4535
0	2756
26	57
0	2
172	19
5	55
0	5
8	1471
0	2659
118	834
0	35
606	159
28	763
0	0
0	1011
0	0
0	0
0	2
1491	2638
0	0
219	101
0	0
409	856
68	244
7	517
0	1267
51	1234
0	0
0	0
0	11269
538	1154
0	0
55	4061
6	294
1	56
0	0
0	0
0	617
0	0
0	0
231	155
0	455
1	2
2	672
1	860
0	1031
0	1623
0	0
0	486
4	254
45	2524
742	284
75	288
716	472
0	0
241	1271
1	556
0	223
230	105
1878	294
49	333
109	964
0	0
190	870
265	1355
0	3
0	69
0	0
33	603
0	335
78	148
0	0
0	0
0	0
0	958
11	668
25	3869
136	390
1	946
21	2109
336	20
0	450
0	0
0	2
25	323
0	16
9	1353
145	227
439	600
0	3063
0	0
19	4787
205	438
503	565
1	125
0	41
0	0
455	0
0	0
411	2878
0	0
0	1
17	326
0	0
0	0
0	0
42	1491
0	101
12	228
4	0
266	159
3	466
3322	5374
0	38
653	15
0	405
3	1429
0	729
0	0
0	115
0	278
0	3436
0	0
61	4918
1413	369
0	328
1	1065
9	472
0	6
0	371
0	0
1092	1168
228	0
0	0
3579	1764
325	585
19	139
3	707
663	0
74	139
290	1407
175	1635
868	2809
199	13
0	6
3	0
0	0
628	449
20	439
0	4160
17	16
85	0
0	0
7	1177
82	981
195	606
45	5425
41	402
0	178
0	0
10	2
0	5
0	0
44	0
100	2359
0	173
0	443
0	155
0	52
17	764
24	4061
381	648
0	11
0	0
0	20
0	0
77	971
5	189
1064	974
2	88
0	0
2	632
0	8
237	837
0	2
10	0
0	15
9	186
0	0
163	722
17	479
4651	5761
2	111
0	1998
0	1150
137	828
10	2776
0	5
1	0
0	5
5	1477
0	0
3	37
0	0
0	0
17	31
0	0
10	41
0	31
144	475
388	2069
0	0
0	0
170	20
62	465
0	1308
427	96
0	2180
0	7
0	0
3	61
0	1553
0	3858
272	1399
2	384
0	9
3	3
1	773
685	1319
0	1
84	531
10	2344
0	0
81	391
0	15
2680	885
1480	1332
1794	1255
0	62
747	1914
2	145
0	131
0	0
0	113
0	0
1348	0
0	67
0	1
1434	984
0	7
0	1
1	1195
0	1557
6	287
0	107
5	6
0	1837
0	7550
0	467
0	1347
0	1
7	23
45	1794
0	2
0	0
0	0
0	0
209	34
0	0
63	235
341	5560
28	2881
5	180
0	0
1	94
0	28
9	259
2	2396
2	578
0	9830
0	0
1	2109
1377	415
0	0
76	34866
4	712
60	973
1292	2022
6	1986
0	0
0	0
4	10
0	1
156	504
0	0
0	2
256	543
0	0
0	1
0	18
81	203
75	1308
0	0
0	0
1	0
0	3
0	0
0	7349
0	1941
453	283
0	28209
1756	990
304	0
1120	679
0	0
167	592
870	22774
0	1
0	0
4	1766
0	0
0	1
1	0
3	44
0	837
1	29
0	4951
499	341
0	1
116	2043
0	0
6	448
3	123
3	20736
0	29
0	0
13	181
413	549
4809	0
0	0
10	103
159	156
0	4
0	1
0	0
15	1288
43	205
1	223
103	557
3209	775
0	1770
3	2129
13	523
40	2027
433	1218
94	1604
4	649
0	737
0	0
0	50
0	577
1823	1912
1	576
55	742
130	420
102	1571
4	216
10	337
0	1427
1	6519
0	748
1	1
1179	258
0	897
0	0
605	97334
1	4
0	0
0	91
0	2
4	1911
1	0
0	1
0	995
23	1251
0	0
0	0
84	366
0	12
0	1
20	772
0	765
0	1792
0	0
1	300
1	465
0	925
26	135
0	178
0	821
1	19
64	7992
0	0
10	895
1	4316
0	4
0	2857
0	0
0	0
817	1549
111	1943
0	0
0	82
0	0
155	156
2	201
81	193
0	4
0	0
0	0
648	47
0	0
0	0
0	0
18	178
0	1604
0	0
24	14329
0	0
0	7
287	3
81	545
8	2101
1	0
0	0
0	0
0	216
3	2086
0	0
5	754
0	0
44	303
0	0
1	1121
0	0
2	0
1	6
1	0
0	141
883	0
0	13
582	2437
0	0
1	1
1484	2864
2	0
2	259
0	540
609	443
0	0
239	200
0	58
0	1272
0	0
0	0
735	682
3	2885
0	0
0	0
0	134
0	221
0	0
27	16
0	0
0	0
0	14
0	0
0	0
18	2377
0	3
228	2222
138	799
0	0
96	232
3	0
7	2293
18	67
34	12957
2	0
10	10
0	509
0	1
723	395
34	878
0	0
18	192
20	1018
6222	1753
1	2
194	41
20	387
0	0
0	0
0	4
268	421
278	864
0	570
320	1041
52	722
225	642
34	86
0	708
1	426
53	148
0	30
814	89
23	64
65	81
0	0
0	785
21	2376
5	37
313	717
5	3500
5	244
457	64
0	3497
0	779
2	41
0	1
81	0
44	35
0	2
0	0
847	2422
1722	937
206	2876
15	403
7281	1637
15	773
0	1632
34	1875
0	104774
2	2625
0	689
183	611
0	28
0	169
0	0
0	1
0	0
5	729
166	198
0	0
0	874
12	489
0	1242
378	302
0	1703
0	1
0	0
704	1024
0	646
7	195
0	46
0	1761
0	567
92	1730
0	0
100	786
984	1332
0	193
0	9
0	885
105	82
80	6222
6	2
2	2
0	0
0	207
0	0
343	2394
14	136
2	0
0	0
53	2455
0	0
0	12
0	0
0	25
0	0
218	3776
35	2883
0	1
0	2
0	0
0	0
171	432
7	644
0	2121
0	52
8	3423
0	4
1	2
1753	1657
13000	1002
0	0
0	0
0	74
25	1426
3107	1
0	0
0	31
3756	5198
1	425
0	1857
577	3888
20	239
0	0
1664	607
54	193
0	0
0	2
104	6472
0	399
4	1721
0	5
0	343
7	308
11	468
0	0
198	264
2	3
1	524
342	759
24	0
0	1919
0	627
11	3680
138	5158
17	472
0	2708
0	578
5	0
0	0
12	459
4	1471
41	1318
14	86
1	23
0	0
0	0
0	0
0	5072
0	0
48	5141
389	3572
0	1
48	32
8	397
22	212
5	1038
0	836
48	4375
1	0
51	537
0	1252
0	0
0	1
167	2502
319	139
20	652
0	473
1139	0
0	0
1	0
0	3
1	2
947	340
25	367
0	0
0	329
0	0
1	0
131	121
0	0
0	1730
0	394
0	2
400	362
0	0
0	2989
1	308
0	0
87	22877
152	222
17	1352
0	628
3	2
0	1
441	1424
7789	8434
0	211
2	3
9	79
0	2
43	2299
0	1139
36	124
0	1461
0	2619
1	931
14	4155
78	13209
43	250
9	879
23	725
93	5
279	410
0	0
1	286
339	478
0	298
358	2657
4486	7070
0	0
3	60
0	1
746	849
0	0
278	3735
5	50
45	6260
0	2
0	0
66	273
27	4015
181	1175
