event_id	SRR1513329_Sample1	tpm1_sample1	tpm2_sample1	PSI_original_sample1	PSI_switched_sample1	DeltaPSI_sample1	SRR1513330_Sample1	tpm1_sample2	tpm2_sample2	PSI_original_sample2	PSI_switched_sample2	DeltaPSI_sample2	SRR1513331_Sample1	tpm1	tpm2	PSI_original	PSI_switched	DeltaPSI	gene	meanDeltaPSI	significant	event_type
ABHD17A;SE:chr19:1880114-1880895:1881047-1881234:-	0	0.28	98.89	0.00282343450640315	0.997176565493597	0.994353130987194	0	0.14	86.06	0.00162412993039443	0.998375870069606	0.996751740139211	0.0033751532498	0.38	88	0.00429961529757864	0.995700384702421	0.991400769404843	ABHD17A	0.9941685467	TRUE	SE
ACOT13;SE:chr6:24667572-24687633:24687921-24698111:+	0.0229043124854	0.17	11.2	0.0149516270888303	0.98504837291117	0.97009674582234	0.0252452270868	0.25	10.78	0.0226654578422484	0.977334542157752	0.954669084315503	0.0483947774274	0.53	10.47	0.0481818181818182	0.951818181818182	0.903636363636364	ACOT13	0.942800731433333	TRUE	SE
ADTRP;SE:chr6:11768616-11770264:11770317-11778840:-	0.668147721218	1.1	1.25	0.468085106382979	0.531914893617021	0.0638297872340425	1	2.2	0	1	0	-1	1	1.91	0	1	0	-1	ADTRP	-0.645390071	TRUE	SE
AFF3;SE:chr2:100625394-100627959:100628033-100720864:-	0.995443685299	0.33	0	1	0	-1	0.995235285972	0.5	0	1	0	-1	0.994691768377	0.29	0	1	0	-1	AFF3	-1	TRUE	SE
AGO2;SE:chr8:141542714-141545567:141545668-141549419:-	1	13.09	0	1	0	-1	1	17.33	0	1	0	-1	0.98433416087	14.67	0.28	0.981270903010034	0.0187290969899666	-0.962541806020067	AGO2	-0.987513935333333	TRUE	SE
ALDH5A1;SE:chr6:24505213-24512058:24512096-24515395:+	0	0	1.89	0	1	1	0	0	2.05	0	1	1	0	0	2.1	0	1	1	ALDH5A1	1	TRUE	SE
ALG2;SE:chr9:101981118-101983261:101983419-101983829:-	0.365950739775	10.78	25.65	0.295909964315125	0.704090035684875	0.40818007136975	0.286389445399	8.58	28.94	0.228678038379531	0.771321961620469	0.542643923240938	0.261898207298	7.84	30.43	0.204860203814999	0.795139796185001	0.590279592370003	ALG2	0.5137011954	TRUE	SE
AMIGO2;SE:chr12:47472848-47472930:47473031-47473245:-	0.936828159225	25.99	5.6	0.822728711617601	0.1772712883824	-0.645457423235201	0.941353866652	33.49	5.84	0.851512840071193	0.148487159928808	-0.703025680142385	0.904893550892	29.28	8.06	0.784145688269952	0.215854311730048	-0.568291376539904	AMIGO2	-0.6389248267	TRUE	SE
ANKRD13D;SE:chr11:67057021-67057300:67057436-67057549:+	0.126926574942	1.57	12.62	0.110641296687808	0.889358703312192	0.778717406624383	0.174386890482	1.31	11.04	0.106072874493927	0.893927125506073	0.787854251012146	0.0532332304031	0.58	11.96	0.0462519936204147	0.953748006379585	0.907496012759171	ANKRD13D	0.824689223666667	TRUE	SE
AP1M1;SE:chr19:16319988-16321171:16321206-16337232:+	0.0165510192521	2.63	148.23	0.0174333819435238	0.982566618056476	0.965133236112952	0.0186211275248	1.78	132.65	0.0132410920181507	0.986758907981849	0.973517815963699	0.0347711013381	2.81	132.94	0.0206998158379374	0.979300184162063	0.958600368324125	AP1M1	0.965750473333333	TRUE	SE
AP1S2;SE:chrX:15845495-15846315:15846323-15863502:-	0.0148527223892	0.69	44.28	0.0153435623749166	0.984656437625083	0.969312875250167	0	0	51.91	0	1	1	0.00693812654514	0.33	46.95	0.00697969543147208	0.993020304568528	0.986040609137056	AP1S2	0.985117828	TRUE	SE
APEX2;SE:chrX:55028062-55028684:55028864-55029395:+	0.88268482587	42.48	11.34	0.789297658862876	0.210702341137124	-0.578595317725753	0.792994962008	38.94	18.37	0.679462571976967	0.320537428023033	-0.358925143953935	0.84497824987	44.09	15.63	0.738278633623577	0.261721366376423	-0.476557267247153	APEX2	-0.471359243	TRUE	SE
