event_id	SRR1513329_Sample1	tpm1_sample1	tpm2_sample1	PSI_original_sample1	PSI_switched_sample1	DeltaPSI_sample1	SRR1513330_Sample1	tpm1_sample2	tpm2_sample2	PSI_original_sample2	PSI_switched_sample2	DeltaPSI_sample2	SRR1513331_Sample1	tpm1	tpm2	PSI_original	PSI_switched	DeltaPSI	gene	meanDeltaPSI	significant	event_type
ACO1;SE:chr9:32384733-32386369:32386440-32405483:+	0.13013667495	13.09	194.34	0.0631056259943113	0.936894374005689	0.873788748011377	0.126037729688	15.75	199.59	0.0731401504597381	0.926859849540262	0.853719699080524	0.144002181025	14.07	195.09	0.0672690763052209	0.932730923694779	0.865461847389558	ACO1	0.864323431366667	TRUE	SE
ACOT9;SE:chrX:23751334-23752458:23752484-23754036:-	0.864156793406	56.92	9.98	0.850822122571001	0.149177877428998	-0.701644245142003	0.8634748031	57.15	9.71	0.854771163625486	0.145228836374514	-0.709542327250972	0.875142782574	56.99	8.83	0.865846247341234	0.134153752658766	-0.731692494682467	ACOT9	-0.714293022433333	TRUE	SE
ACTG2;SE:chr2:74128564-74129487:74129615-74135800:+	1	0.96	0	1	0	-1	1	0.46	0	1	0	-1	0	0	0.24	0	1	1	ACTG2	-0.333333333333333	TRUE	SE
ADCK1;SE:chr14:78288861-78325419:78325622-78353434:+	0.68665923223	1.27	1.23	0.508	0.492	-0.016	0.533082605965	0.99	1.7	0.368029739776952	0.631970260223048	0.263940520446097	0.812325102627	1.18	0.99	0.543778801843318	0.456221198156682	-0.0875576036866359	ADCK1	0.0534609721333333	FALSE	SE
AFAP1;SE:chr4:7780603-7783103:7783354-7787921:-	0.0431905917289	0.16	4.82	0.0321285140562249	0.967871485943775	0.93574297188755	0.0314375708735	0	5.95	0	1	1	0	0	5.88	0	1	1	AFAP1	0.978580990666667	TRUE	SE
AGO3;SE:chr1:36411464-36432556:36432676-36437625:+	1	2.92	0	1	0	-1	1	3.16	0	1	0	-1	1	3.26	0	1	0	-1	AGO3	-1	TRUE	SE
AKNAD1;SE:chr1:109359799-109363167:109363248-109365992:-	0	0	0.25	0	1	1	0	0.08	0.33	0.195121951219512	0.804878048780488	0.609756097560976	0	0.14	0.17	0.451612903225806	0.548387096774194	0.0967741935483871	AKNAD1	0.568843430533333	TRUE	SE
ALDH3A2;SE:chr17:19575269-19576464:19576588-19578871:+	0.228097665898	11.65	44.32	0.208147221725925	0.791852778274075	0.583705556548151	0.237069971223	12.47	48.25	0.205368906455863	0.794631093544137	0.589262187088274	0.157281507037	7.85	50.62	0.134256883872071	0.865743116127929	0.731486232255858	ALDH3A2	0.634817992033333	TRUE	SE
AMOTL1;SE:chr11:94501726-94528177:94528326-94532556:+	0.512885021623	7.06	12.08	0.368861024033438	0.631138975966562	0.262277951933124	0.705221763228	13.42	11.67	0.534874451972898	0.465125548027102	-0.0697489039457952	0.662876040843	11.65	9.94	0.539601667438629	0.460398332561371	-0.0792033348772581	AMOTL1	0.0377752377	FALSE	SE
AP3M2;SE:chr8:42010623-42011996:42012054-42012134:+	0.079287281111	1	12.9	0.0719424460431655	0.928057553956835	0.856115107913669	0.13902313248	1.89	12.93	0.12753036437247	0.87246963562753	0.744939271255061	0.270815321288	4.04	11.82	0.254728877679697	0.745271122320303	0.490542244640605	AP3M2	0.697198874766667	TRUE	SE
AP5M1;SE:chr14:57736106-57740962:57741607-57746913:+	1	38.09	0	1	0	-1	1	41.74	0.78	0.981655691439323	0.0183443085606773	-0.963311382878645	0.986219397409	39.24	1.57	0.961529037000735	0.0384709629992649	-0.92305807400147	AP5M1	-0.9621231523	TRUE	SE
APBA2;SE:chr15:29385423-29386481:29386516-29390693:+	0	0	0.27	0	1	1	0	0	0.31	0	1	1	0	0	0.28	0	1	1	APBA2	1	TRUE	SE
APH1B;SE:chr15:63578827-63579623:63579745-63594544:+	0.927538646646	4.55	0.41	0.917338709677419	0.0826612903225806	-0.834677419354839	0.981524980355	6.41	0.14	0.978625954198473	0.0213740458015267	-0.957251908396947	0.917939357232	5.95	0.61	0.907012195121951	0.0929878048780488	-0.814024390243902	APH1B	-0.868651239133333	TRUE	SE
ARFGAP2;SE:chr11:47195391-47196566:47196649-47196733:-	0.988333775526	26.39	0.45	0.983233979135618	0.0167660208643815	-0.966467958271237	1	25.9	0	1	0	-1	0.989191695843	24.08	0.32	0.986885245901639	0.0131147540983607	-0.973770491803279	ARFGAP2	-0.980079483333333	TRUE	SE
ARL1;SE:chr12:101796724-101799622:101799759-101801420:-	1	54.43	0	1	0	-1	1	59.96	0	1	0	-1	1	57.61	0	1	0	-1	ARL1	-1	TRUE	SE
