Set	Num	event_id	meanDeltaPSI
Positive	1	ABHD17A;SE:chr19:1880114-1880895:1881047-1881234:-	0.9941685467
Positive	2	ACOT13;SE:chr6:24667572-24687633:24687921-24698111:+	0.9428007314
Positive	3	ADTRP;SE:chr6:11768616-11770264:11770317-11778840:-	-0.645390071
Positive	4	AFF3;SE:chr2:100625394-100627959:100628033-100720864:-	-1
Positive	5	AGO2;SE:chr8:141542714-141545567:141545668-141549419:-	-0.9875139353
Positive	6	ALDH5A1;SE:chr6:24505213-24512058:24512096-24515395:+	1
Positive	7	ALG2;SE:chr9:101981118-101983261:101983419-101983829:-	0.5137011954
Positive	8	AMIGO2;SE:chr12:47472848-47472930:47473031-47473245:-	-0.6389248267
Positive	9	ANKRD13D;SE:chr11:67057021-67057300:67057436-67057549:+	0.8246892237
Positive	10	AP1M1;SE:chr19:16319988-16321171:16321206-16337232:+	0.9657504733
Positive	11	AP1S2;SE:chrX:15845495-15846315:15846323-15863502:-	0.985117828
Positive	12	APEX2;SE:chrX:55028062-55028684:55028864-55029395:+	-0.471359243
Positive	13	APPBP2;SE:chr17:58571978-58577760:58577848-58603155:-	-1
Positive	14	ARFGAP3;SE:chr22:43230331-43231368:43231499-43236950:-	-0.9357056902
Positive	15	ARHGAP17;SE:chr16:24946960-24950685:24950918-24953308:-	-0.2814734709
Positive	16	ARID1B;SE:chr6:157150555-157192748:157192786-157222510:+	1
Positive	17	ARL8A;SE:chr1:202104348-202104587:202104654-202104835:-	-0.9417893294
Positive	18	ARMC1;SE:chr8:66517773-66525479:66525668-66534498:-	-1
Positive	19	ASAH2;SE:chr10:51970664-51970790:51970894-51972732:-	1
Positive	20	ASAP2;SE:chr2:9528675-9531191:9531325-9533611:+	0.5153921958
Positive	21	ATP11C;SE:chrX:138811121-138813810:138813914-138820075:-	0.2936086231
Positive	22	ATP5I;SE:chr4:667190-667701:667755-668001:-	-0.8244663798
Positive	23	ATP5L;SE:chr11:118272432-118276372:118276424-118277652:+	0.9500853602
Positive	24	ATP6V1B1-AS1;SE:chr2:71169563-71174664:71174801-71175357:-	-0.5791292868
Positive	25	ATP6V1F;SE:chr7:128503116-128505174:128505257-128505431:+	0.9648062513
Positive	26	ATRX;SE:chrX:76944420-76949313:76949426-76952065:-	-0.3462287758
Positive	27	B3GALNT2;SE:chr1:235658138-235659496:235659618-235667441:-	0.9368729918
Positive	28	BAZ1A;SE:chr14:35255207-35255332:35255427-35261981:-	-0.9846617367
Positive	29	BBS12;SE:chr4:123654039-123655059:123655246-123663038:+	1
Positive	30	BTBD1;SE:chr15:83687605-83689427:83689514-83698888:-	-0.9868501979
Positive	31	BTG3;SE:chr21:18971142-18976463:18976594-18977178:-	0.7192964634
Positive	32	C14orf2;SE:chr14:104381526-104387277:104387545-104387807:-	0.9862124187
Positive	33	C16orf46;SE:chr16:81097598-81099798:81099886-81110741:-	0.2121542351
Positive	34	C18orf25;SE:chr18:43796561-43819971:43820153-43833663:+	0.5950629485
Positive	35	C1orf50;SE:chr1:43233061-43233180:43233295-43239234:+	-0.9311538047
Positive	36	C21orf59;SE:chr21:33976593-33979959:33980026-33982148:-	-0.9733820544
Positive	37	C4orf22;SE:chr4:81504337-81529487:81529537-81791147:+	1
Positive	38	CA2;SE:chr8:86377698-86385922:86386040-86386553:+	-1
Positive	39	CCDC43;SE:chr17:42756411-42757953:42758011-42759371:-	-0.9538974223
Positive	40	CCDC50;SE:chr3:191087825-191092851:191093378-191097948:+	0.9902629044
Positive	41	CCT4;SE:chr2:62107529-62110594:62110683-62112155:-	-0.916854199
Positive	42	CD82;SE:chr11:44626732-44626905:44626979-44636822:+	-0.9966759283
Positive	43	CDC25A;SE:chr3:48219478-48222211:48222330-48224419:-	-0.6826018287
Positive	44	CDC42SE2;SE:chr5:130599859-130651669:130651837-130694902:+	-0.5158375354
Positive	45	CDH24;SE:chr14:23519152-23521179:23521292-23521682:-	0.3313967774
Positive	46	CENPU;SE:chr4:185618957-185621974:185622035-185623243:-	-0.9335271499
Positive	47	CEP120;SE:chr5:122754209-122758644:122758724-122759203:-	0.3764593896
Positive	48	CEP162;SE:chr6:84925640-84927517:84927578-84930775:-	1
Positive	49	CFAP36;SE:chr2:55747052-55747541:55747615-55749238:+	0.9922606925
Positive	50	CHIC1;SE:chrX:72899217-72899489:72899548-72900790:+	-0.8926174497
Positive	51	CHRFAM7A;SE:chr15:30672602-30675522:30675585-30679066:-	-0.8812785388
Positive	52	CHRNA1;SE:chr2:175622403-175622674:175622748-175624059:-	0.8316498317
Positive	53	COPS8;SE:chr2:237994685-237995375:237995439-237995770:+	0.7417285238
Positive	54	CPA4;SE:chr7:129939244-129940656:129940754-129944318:+	-1
Positive	55	CPSF6;SE:chr12:69651685-69651815:69651925-69652370:+	0.7625683854
Positive	56	CRACR2B;SE:chr11:830713-830866:831032-831224:+	-0.6614505346
Positive	57	CRLF3;SE:chr17:29124416-29130919:29131126-29151541:-	-0.9721760374
Positive	58	CRTC1;SE:chr19:18853836-18854918:18854965-18856633:+	1
Positive	59	CSPP1;SE:chr8:68049838-68062018:68062170-68066259:+	-1
