event_id	SRR1513329_Sample1	tpm1_sample1	tpm2_sample1	PSI_original_sample1	PSI_switched_sample1	DeltaPSI_sample1	SRR1513330_Sample1	tpm1_sample2	tpm2_sample2	PSI_original_sample2	PSI_switched_sample2	DeltaPSI_sample2	SRR1513331_Sample1	tpm1	tpm2	PSI_original	PSI_switched	DeltaPSI	gene	meanDeltaPSI	significant	event_type
FLVCR1-AS1;A3:chr1:213030514-213031108:213030260-213031108:-	0.186078404664	0.23	1.5	0.132947976878613	0.867052023121387	0.734104046242775	0.16929136824	0.35	2.44	0.125448028673835	0.874551971326165	0.74910394265233	0.310819808085	0.66	1.4	0.320388349514563	0.679611650485437	0.359223300970874	FLVCR1-AS1	0.614143763233333	TRUE	A3
PRR13;A3:chr12:53836517-53837175:53836517-53837325:+	0.985189475075	271.64	4.89	0.982316566014537	0.0176834339854627	-0.964633132029075	0.986638173834	261.8	4.56	0.982880312359213	0.0171196876407869	-0.965760624718426	0.988945973928	272.49	4.27	0.984571469865588	0.0154285301344125	-0.969142939731175	PRR13	-0.966512232233333	TRUE	A3
GSTCD;A5:chr4:106639196-106640217:106638935-106640217:+	0.5853784	3.94	3	0.5677233	0.4322767	-0.1354467	0.7023199	6.57	3.21	0.6717791	0.3282209	-0.3435583	0.727806	6.68	2.93	0.6951093	0.3048907	-0.3902185	GSTCD	-0.2897412	TRUE	A5
PLB1;A3:chr2:28755061-28761153:28755061-28761186:+	0	0	0.17	0	1	1	0	0	0.19	0	1	1	0	0	0.23	0	1	1	PLB1	1	TRUE	A3
SLC39A11;A5:chr17:70845943-70943870:70845943-70943891:-	0.455067000637	3.29	3.5	0.484536082474227	0.515463917525773	0.0309278350515463	0.24547087879	1.84	5.62	0.246648793565684	0.753351206434316	0.506702412868633	0.121100905023	1.08	7.67	0.123428571428571	0.876571428571429	0.753142857142857	SLC39A11	0.430257701633333	TRUE	A5
DLG4;A3:chr17:7107386-7107518:7107377-7107518:-	0.0826436997278	0.68	9.28	0.0682730923694779	0.931726907630522	0.863453815261044	0.0626821297877	0.76	9.69	0.0727272727272727	0.927272727272727	0.854545454545454	0.088772552109	0.89	10.19	0.0803249097472924	0.919675090252708	0.839350180505415	DLG4	0.852449816833333	TRUE	A3
SRSF5;A5:chr14:70234097-70234855:70233968-70234855:+	0.477580534632	21.4	75.28	0.221348779478693	0.778651220521307	0.557302441042615	0.474252613964	19.49	79.24	0.197407069786286	0.802592930213714	0.605185860427428	0.526888463048	25.4	74.33	0.254687656673017	0.745312343326983	0.490624686653966	SRSF5	0.5510376628	TRUE	A5
LINC01011;A3:chr6:2988265-2988662:2988265-2989762:+	0.159311993698	0.06	0.86	0.0652173913043478	0.934782608695652	0.869565217391304	0.135293138664	0.1	1.45	0.0645161290322581	0.935483870967742	0.870967741935484	0.203918183825	0.1	1.36	0.0684931506849315	0.931506849315068	0.863013698630137	LINC01011	0.867848885966667	TRUE	A3
TTC19;A5:chr17:15903696-15905229:15903559-15905229:+	0.120196069515	3.54	29.91	0.105829596412556	0.894170403587444	0.788340807174888	0.0943876670091	3	34.07	0.0809279741030483	0.919072025896952	0.838144051793903	0.0718187450383	1.9	31.92	0.0561797752808989	0.943820224719101	0.887640449438202	TTC19	0.838041769266667	TRUE	A5
DOHH;A5:chr19:3496884-3500531:3496884-3500559:-	0.133097741839	19.36	33.25	0.367990876259266	0.632009123740734	0.264018247481467	0	11.08	34.9	0.240974336668117	0.759025663331883	0.518051326663767	0.202447598128	19.03	29.18	0.394731383530388	0.605268616469612	0.210537232939224	DOHH	0.330868935566667	TRUE	A5
